Song,Tempo,Chroma,MFCC,Chords
"#Dhruva Dhruva Full Video Song ｜ Dhruva Full Video Songs ｜ Ram Charan,Rakul Preet ｜ HipHopTamizha",[82.03125],"[0.5452098250389099, 0.38857603073120117, 0.3748070001602173, 0.4142288863658905, 0.33856892585754395, 0.3621116578578949, 0.320394903421402, 0.44373592734336853, 0.3336198627948761, 0.322917103767395, 0.4050987660884857, 0.37016215920448303]","[-34.347625732421875, 140.0728302001953, -28.883617401123047, 46.123382568359375, -25.801326751708984, 28.886533737182617, -23.593212127685547, 16.759126663208008, -12.336883544921875, 7.765576362609863, -12.561659812927246, 5.099063396453857, -1.1625819206237793]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
09 Sean Paul - No Lie Ft. Dua Lipa [Official Audio],[135.99917763],"[0.5141364932060242, 0.44298508763313293, 0.4578096568584442, 0.4456111490726471, 0.5330297946929932, 0.45152851939201355, 0.40788379311561584, 0.4706733524799347, 0.4563968777656555, 0.5586957335472107, 0.4592423141002655, 0.45356643199920654]","[-68.360595703125, 135.10829162597656, -30.490053176879883, 47.65007019042969, -20.429460525512695, 37.2873649597168, -15.301651000976562, 17.64678382873535, -6.33607292175293, -0.14403843879699707, 3.281256675720215, 6.16201639175415, -2.588681697845459]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 1, 10, 11, 1, 10, 11, 0, 1, 11, 2, 3, 8, 3, 8, 9]"
"1 Nenokkadine - O' Sayonara Sayonara - Sooraj Santhosh, M.M.Manasi",[151.99908088],"[0.4378308057785034, 0.42244967818260193, 0.4892401695251465, 0.46591538190841675, 0.5554796457290649, 0.43915870785713196, 0.472432404756546, 0.44952258467674255, 0.38610363006591797, 0.41572290658950806, 0.42621561884880066, 0.5204471945762634]","[-100.57441711425781, 154.5279998779297, -24.176288604736328, 43.46384811401367, -5.766119956970215, 25.370147705078125, -7.913358211517334, 14.96097183227539, -4.161499977111816, 7.422733306884766, -3.034166097640991, 4.987144470214844, 3.604109525680542]","[1, 2, 3, 8, 9, 10, 5, 6, 7, 4, 5, 9, 5, 9, 10, 5, 6, 9, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6]"
1985,[156.60511364],"[0.4616500735282898, 0.5040460228919983, 0.4951029121875763, 0.523900032043457, 0.6065191626548767, 0.5160088539123535, 0.5551581382751465, 0.519278883934021, 0.5058545470237732, 0.47218212485313416, 0.4530459940433502, 0.527377724647522]","[-144.0404510498047, 151.847412109375, -27.470821380615234, 41.50108337402344, -4.690832138061523, 21.63577651977539, -13.009337425231934, 5.599376201629639, 2.040822744369507, 2.074129819869995, -10.758922576904297, 2.279240131378174, 9.055410385131836]","[1, 2, 10, 1, 2, 10, 2, 4, 11, 0, 3, 4, 3, 4, 5, 3, 4, 5, 3, 4, 5, 3, 4, 5, 3, 4, 5, 3, 4, 5]"
1NONLY - SHAKIRA Ft. Egovert (Audio),[99.38401442],"[0.550126850605011, 0.5305105447769165, 0.5288834571838379, 0.5207951664924622, 0.5434445738792419, 0.5874831676483154, 0.4863181412220001, 0.5415244698524475, 0.5469877123832703, 0.5048125982284546, 0.541862964630127, 0.46859094500541687]","[-105.51554107666016, 128.3804931640625, -24.918092727661133, 21.152084350585938, -30.681386947631836, 17.998027801513672, -21.49668312072754, 9.8076171875, -8.618622779846191, 2.881279230117798, -2.7883589267730713, 6.541657447814941, -4.629087924957275]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 1, 2, 3, 1, 2, 6, 5, 6, 7, 8, 9, 10, 2, 8, 9, 3, 4, 7, 6, 7, 8]"
1nonly - stay with me (prod. nategoyard),[126.04801829],"[0.49269843101501465, 0.418750524520874, 0.3809138238430023, 0.46087509393692017, 0.47748279571533203, 0.34669041633605957, 0.2830204367637634, 0.32156655192375183, 0.5016777515411377, 0.4835059940814972, 0.4005570709705353, 0.5534573197364807]","[-207.51492309570312, 113.50194549560547, -17.639524459838867, 11.975850105285645, -26.602317810058594, 25.67011260986328, -21.568090438842773, 1.1365082263946533, -13.167342185974121, 4.2496209144592285, -3.168576955795288, -4.136876106262207, -10.428875923156738]","[5, 6, 7, 5, 6, 7, 3, 4, 8, 3, 4, 8, 3, 4, 8, 0, 3, 8, 0, 1, 3, 1, 3, 8, 1, 3, 8, 1, 3, 8]"
2 Chainz - Million Dollars Worth of Game ft. 42 Dugg,[97.50884434],"[0.38554269075393677, 0.41054919362068176, 0.4459930658340454, 0.4180300831794739, 0.4403397738933563, 0.44427457451820374, 0.42281365394592285, 0.42565831542015076, 0.5003002882003784, 0.6928329467773438, 0.4469994306564331, 0.36568883061408997]","[-163.22616577148438, 110.3152084350586, -36.47262954711914, 39.862884521484375, -11.13925552368164, 23.678852081298828, -2.022531032562256, 2.4200971126556396, 2.49080491065979, 1.3675602674484253, 6.362559795379639, 8.113276481628418, 2.3579139709472656]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
347aidan - DANCING IN MY ROOM (Official Music⧸Lyric Video),[120.18531977],"[0.4546689987182617, 0.4462352991104126, 0.45559945702552795, 0.5374847650527954, 0.4697480797767639, 0.4367908537387848, 0.41492959856987, 0.4334730803966522, 0.49305209517478943, 0.47015634179115295, 0.5769177079200745, 0.5355780124664307]","[-228.70660400390625, 143.6228790283203, 18.540328979492188, 31.988950729370117, -2.7621757984161377, 14.178559303283691, -10.46467113494873, 6.678358554840088, -3.3083927631378174, 2.3933589458465576, -3.915771961212158, 2.199913501739502, 0.43863075971603394]","[3, 4, 5, 4, 5, 6, 3, 7, 8, 2, 3, 7, 2, 3, 7, 2, 3, 7, 2, 3, 7, 2, 3, 8, 6, 7, 8, 3, 7, 8]"
5 Seconds of Summer - Teeth (Lyric Video),[139.67483108],"[0.45609554648399353, 0.47834038734436035, 0.5281051993370056, 0.6101433038711548, 0.4930335581302643, 0.4663158059120178, 0.4565705358982086, 0.40559425950050354, 0.40165308117866516, 0.41358882188796997, 0.5216454267501831, 0.4478469789028168]","[-99.86747741699219, 142.8953857421875, -21.537248611450195, 47.134552001953125, -5.010027885437012, 24.685396194458008, 0.4292629063129425, 16.95939064025879, -2.0310702323913574, 7.794637203216553, 5.284698486328125, 3.81477689743042, 4.563329696655273]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
A-Wall - Loverboy (Lyrics),[120.18531977],"[0.5235881209373474, 0.39048320055007935, 0.5180668830871582, 0.4050566256046295, 0.48466363549232483, 0.4743710458278656, 0.28911280632019043, 0.32657912373542786, 0.2224777191877365, 0.30786436796188354, 0.2224148064851761, 0.36253172159194946]","[-198.47215270996094, 157.531494140625, 3.9532229900360107, 24.86507225036621, -25.142244338989258, -2.7510900497436523, -12.830379486083984, 1.7878743410110474, -13.284757614135742, -10.742762565612793, -16.697702407836914, -12.357483863830566, -4.357949733734131]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
"Aakanulalo Video Song ｜｜ Aalapana Telugu Movie ｜｜  Mohan, Bhanupriya",[103.359375],"[0.3030223846435547, 0.2374371439218521, 0.2866640090942383, 0.294177770614624, 0.3894899785518646, 0.29678213596343994, 0.27717962861061096, 0.36331021785736084, 0.39592212438583374, 0.4145210087299347, 0.370039165019989, 0.43831637501716614]","[-5.675369739532471, 140.05747985839844, -61.36124801635742, 36.56828308105469, -24.087158203125, 21.94506072998047, -22.234663009643555, 17.337736129760742, -19.95125389099121, 12.245022773742676, -12.635204315185547, 10.217608451843262, -5.945828914642334]","[9, 10, 11, 0, 5, 11, 4, 5, 6, 6, 7, 8, 7, 8, 9, 6, 7, 8, 6, 7, 8, 7, 8, 9, 7, 8, 9, 7, 8, 9]"
Aakasam Baddalaina Full Video Song ｜ Mr Perfect Movie Songs ｜ Prabhas ｜ Kajal ｜ Mango Music,[139.67483108],"[0.489694207906723, 0.4375252425670624, 0.4771495461463928, 0.4499474763870239, 0.5494356155395508, 0.42448654770851135, 0.3902994692325592, 0.47255292534828186, 0.4318859875202179, 0.48628008365631104, 0.42052796483039856, 0.47494038939476013]","[-122.3359603881836, 132.89064025878906, -26.764545440673828, 44.31958770751953, -9.202107429504395, 25.135799407958984, -16.250734329223633, 16.014291763305664, -4.710463523864746, 1.639597773551941, -3.984527349472046, 5.09824275970459, -0.18044187128543854]","[0, 10, 11, 8, 9, 10, 8, 9, 10, 8, 9, 10, 8, 9, 10, 8, 9, 10, 8, 9, 10, 8, 9, 10, 8, 9, 10, 8, 9, 10]"
Aarya-2 - Ringa Ringa Song ｜ Allu Arjun ｜ Devi Sri Prasad,[83.35433468],"[0.4130920171737671, 0.36153924465179443, 0.3900534510612488, 0.3644062876701355, 0.38272184133529663, 0.4980580508708954, 0.38646554946899414, 0.427128404378891, 0.4421432912349701, 0.49744001030921936, 0.5589916110038757, 0.4397375285625458]","[-106.87957000732422, 127.31355285644531, -47.1712646484375, 37.408504486083984, -14.3431396484375, 19.07358169555664, -19.64270782470703, 13.035506248474121, -7.3636345863342285, -7.407901287078857, -1.1590039730072021, 4.093192100524902, -2.205134391784668]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Aarya-2 - Uppenantha Video ｜ Allu Arjun ｜ Devi Sri Prasad,[178.20581897],"[0.4361943304538727, 0.43076765537261963, 0.3615904450416565, 0.3977137804031372, 0.34420114755630493, 0.4102194011211395, 0.30690255761146545, 0.2976519763469696, 0.3561064302921295, 0.3575459420681, 0.4341048300266266, 0.3714851438999176]","[-174.45875549316406, 129.48219299316406, -23.67327308654785, 48.22873306274414, -5.85585355758667, 17.992454528808594, -6.470871448516846, 8.777482986450195, -3.7775559425354004, 2.998185873031616, -7.22214937210083, 4.070277214050293, -0.538515567779541]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
AJR - World's Smallest Violin (Official Video),[114.84375],"[0.474863201379776, 0.4101395905017853, 0.3937318027019501, 0.3614516854286194, 0.40107470750808716, 0.4693235158920288, 0.39517733454704285, 0.4075479805469513, 0.37480729818344116, 0.4661175012588501, 0.4515950679779053, 0.4052513539791107]","[-137.59323120117188, 131.86972045898438, -27.336606979370117, 44.028377532958984, -9.355291366577148, 21.759567260742188, -12.290553092956543, 9.933310508728027, -2.5849852561950684, -1.014190673828125, -0.4676431119441986, 4.400492191314697, -0.06681788712739944]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 0, 1, 2, 5, 7, 8, 0, 2, 11, 0, 10, 11]"
AJR(Official audio)BANG!,[139.67483108],"[0.47470465302467346, 0.49291861057281494, 0.46151524782180786, 0.5187983512878418, 0.5323652029037476, 0.4867982268333435, 0.5131372213363647, 0.507429838180542, 0.5944361090660095, 0.4839407801628113, 0.47143319249153137, 0.4884048104286194]","[-183.8611602783203, 126.40325164794922, -15.988494873046875, 41.088680267333984, -13.319376945495605, 35.43991470336914, -14.3230562210083, 13.624948501586914, 2.8945672512054443, 4.350632667541504, 5.940113067626953, 5.346954822540283, 5.2503204345703125]","[3, 4, 5, 4, 5, 6, 5, 8, 9, 4, 5, 6, 3, 4, 5, 0, 4, 11, 0, 1, 11, 0, 4, 11, 0, 4, 11, 0, 4, 11]"
Alan Walker - Believers (Lyrics) ft. Conor Maynard,[103.359375],"[0.4308265745639801, 0.5343703031539917, 0.46541327238082886, 0.5465468764305115, 0.46725398302078247, 0.3891669809818268, 0.3899634778499603, 0.3686833679676056, 0.428285151720047, 0.3514041602611542, 0.39233988523483276, 0.42106279730796814]","[-111.4466552734375, 133.319091796875, -15.425494194030762, 49.34214401245117, -12.676353454589844, 29.334516525268555, -13.898468971252441, 13.390462875366211, -0.4255242943763733, 4.773984432220459, -1.5000184774398804, 2.0030314922332764, 2.8186492919921875]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 6, 7, 8, 3, 6, 8, 1, 2, 3]"
Alec Benjamin - Devil Doesn't Bargain [Official Audio],[120.18531977],"[0.37898969650268555, 0.3357324004173279, 0.42162710428237915, 0.5100296139717102, 0.4321834444999695, 0.440829873085022, 0.39030641317367554, 0.4827791154384613, 0.4149353504180908, 0.34358349442481995, 0.38038426637649536, 0.35825255513191223]","[-106.07730102539062, 137.9059295654297, -14.517091751098633, 43.64307403564453, -9.175801277160645, 24.350635528564453, -13.063154220581055, 15.831079483032227, -13.430594444274902, -2.9210078716278076, -4.1632232666015625, -0.4112558960914612, -6.291609764099121]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Alec Benjamin - Different Kind Of Beautiful [Official Lyric Video],[105.46875],"[0.42543134093284607, 0.3656591475009918, 0.41786709427833557, 0.40584859251976013, 0.5091883540153503, 0.4929599165916443, 0.37777042388916016, 0.4152103066444397, 0.3773597776889801, 0.4383547604084015, 0.35058683156967163, 0.3741583228111267]","[-159.13832092285156, 146.6905517578125, 0.45063531398773193, 34.94525909423828, 3.3211398124694824, 21.663991928100586, -19.224027633666992, 10.99187183380127, -4.3309478759765625, -5.657090663909912, 0.6722694039344788, -1.5155953168869019, -4.273857116699219]","[1, 2, 9, 2, 9, 10, 8, 9, 10, 8, 9, 10, 0, 1, 9, 0, 9, 11, 7, 8, 9, 7, 8, 9, 7, 8, 9, 8, 9, 10]"
Alec Benjamin - I Sent My Therapist To Therapy [Official Lyric Video],[151.99908088],"[0.45799314975738525, 0.5134115219116211, 0.48070159554481506, 0.5335726141929626, 0.5203938484191895, 0.590826153755188, 0.46383488178253174, 0.35508161783218384, 0.35045963525772095, 0.36385291814804077, 0.42338958382606506, 0.3864412307739258]","[-170.6366424560547, 147.32647705078125, -3.8504812717437744, 31.83515739440918, -3.9746780395507812, 21.185754776000977, -6.309297561645508, 14.826638221740723, 0.46550795435905457, 0.564307451248169, -0.6228315830230713, -0.28001779317855835, 0.3802935779094696]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 1, 9, 10, 0, 1, 7, 2, 3, 4, 1, 2, 3, 0, 1, 2, 0, 1, 2, 0, 1, 2]"
Alessia Cara - Here,[114.84375],"[0.46882903575897217, 0.4506901800632477, 0.5342692136764526, 0.4306447207927704, 0.39802297949790955, 0.4830610454082489, 0.39926573634147644, 0.414564847946167, 0.3902260363101959, 0.4869994521141052, 0.40141814947128296, 0.37599724531173706]","[-105.5022201538086, 149.5675811767578, -36.68898391723633, 46.93107986450195, -11.780552864074707, 14.066650390625, -5.6095499992370605, 14.551590919494629, -4.723113059997559, 5.1510009765625, 7.154423713684082, -4.797804355621338, 7.300947189331055]","[5, 6, 9, 0, 5, 6, 0, 2, 11, 0, 1, 11, 0, 1, 11, 0, 1, 11, 0, 1, 11, 0, 1, 11, 0, 1, 11, 5, 6, 9]"
Alessia Cara - Scars To Your Beautiful (Official Audio),[97.50884434],"[0.38905221223831177, 0.3462408781051636, 0.3598599433898926, 0.3912699520587921, 0.5729781985282898, 0.483280211687088, 0.38228633999824524, 0.4253137707710266, 0.4056703746318817, 0.5224910974502563, 0.36921361088752747, 0.38336414098739624]","[-114.03417205810547, 145.179931640625, -21.82512092590332, 48.57624816894531, -12.6515531539917, 27.251323699951172, -14.849045753479004, 19.077499389648438, -3.4783174991607666, 4.376062870025635, 10.88258171081543, -5.2632269859313965, 11.894726753234863]","[5, 6, 7, 1, 5, 6, 2, 3, 4, 4, 5, 9, 5, 8, 11, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6, 4, 5, 6]"
Alex Warren - Chasing Shadows (Official Lyric Video),[120.18531977],"[0.4155067503452301, 0.4373171627521515, 0.35770824551582336, 0.4364525377750397, 0.5106051564216614, 0.4254405200481415, 0.4750756323337555, 0.4073367416858673, 0.5024899840354919, 0.4247003197669983, 0.3951379358768463, 0.47196152806282043]","[-170.10971069335938, 165.14346313476562, -10.444584846496582, 32.62141418457031, -3.4298393726348877, 21.327816009521484, -5.904536724090576, 4.50905704498291, -2.9313836097717285, 3.1945371627807617, -6.362538814544678, 0.8020679354667664, 0.6931827068328857]","[7, 8, 9, 7, 8, 9, 4, 5, 6, 4, 5, 6, 3, 4, 5, 4, 5, 9, 3, 4, 5, 3, 4, 5, 3, 4, 5, 4, 5, 9]"
Alfons - Basta Boi (TikTok Remix),[129.19921875],"[0.4591617286205292, 0.5235276222229004, 0.469900518655777, 0.4571245312690735, 0.4229878783226013, 0.4068443775177002, 0.3955780863761902, 0.4029369056224823, 0.4803999960422516, 0.4403536319732666, 0.41747450828552246, 0.4194210171699524]","[-117.14961242675781, 113.98204803466797, -41.730491638183594, 33.56669235229492, -21.93627166748047, 13.267879486083984, -6.299370765686035, 8.26321029663086, 0.41512519121170044, 4.330055236816406, -1.3870384693145752, 2.702152729034424, -1.4932633638381958]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 3, 4, 5, 0, 1, 4, 2, 3, 9, 2, 3, 8, 6, 7, 8, 6, 7, 8, 6, 7, 8]"
All Of It All (Samsung Music Galaxy Session),[99.38401442],"[0.4628019630908966, 0.49225887656211853, 0.3922193646430969, 0.3926815092563629, 0.4549497365951538, 0.43420419096946716, 0.44743824005126953, 0.41174548864364624, 0.4960792362689972, 0.5328201651573181, 0.47554975748062134, 0.4906180500984192]","[-144.21884155273438, 136.27906799316406, -15.612407684326172, 47.179298400878906, -10.420693397521973, 28.097578048706055, -11.452264785766602, 15.20130443572998, -4.652858257293701, 8.2238187789917, -3.4296813011169434, 4.591169357299805, 0.5471562147140503]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 0, 1, 8, 1, 2, 3, 0, 10, 11, 0, 10, 11, 3, 4, 9, 3, 4, 11, 3, 4, 9]"
alt-J (∆) Fitzpleasure,[143.5546875],"[0.5130090117454529, 0.5056388974189758, 0.5585458278656006, 0.557249903678894, 0.5662069916725159, 0.4834527373313904, 0.4366791546344757, 0.4000142514705658, 0.41844257712364197, 0.46126940846443176, 0.5069872140884399, 0.6283265948295593]","[-151.26522827148438, 132.25067138671875, -5.242279529571533, 45.259315490722656, 5.563663482666016, 32.51288986206055, -7.575552463531494, 13.455570220947266, -5.986599445343018, -3.3011085987091064, -9.761296272277832, -0.2454763650894165, -2.844165563583374]","[9, 10, 11, 1, 2, 3, 5, 6, 8, 3, 4, 5, 8, 9, 11, 8, 9, 10, 0, 7, 11, 0, 5, 7, 5, 6, 7, 5, 6, 7]"
American Boy,[117.45383523],"[0.4033445715904236, 0.337950199842453, 0.3488899767398834, 0.4021151065826416, 0.5146194100379944, 0.474793404340744, 0.46101459860801697, 0.44864311814308167, 0.4049278497695923, 0.40880295634269714, 0.41732683777809143, 0.477750301361084]","[-122.13417053222656, 135.65126037597656, -11.020925521850586, 43.65394973754883, -2.5791454315185547, 23.881988525390625, -10.27482795715332, 17.152280807495117, -0.4391472041606903, -0.3063661456108093, 2.039428949356079, 4.040526390075684, -1.011924386024475]","[1, 3, 4, 2, 3, 4, 2, 3, 4, 2, 3, 4, 2, 3, 4, 2, 3, 4, 2, 3, 4, 2, 3, 7, 2, 3, 7, 2, 3, 7]"
anime thighs -MC virgins,[125.],"[0.4625862240791321, 0.536668598651886, 0.6242218613624573, 0.5791420340538025, 0.5277310013771057, 0.5369647741317749, 0.563632607460022, 0.5328560471534729, 0.5124302506446838, 0.5018554925918579, 0.4653279781341553, 0.4735693633556366]","[-292.619140625, 122.51077270507812, -0.7045512795448303, 27.313507080078125, 7.140803813934326, 20.01067352294922, -3.5358614921569824, 5.986779689788818, 5.484798431396484, 0.9175252318382263, -4.4300537109375, -0.7601434588432312, -2.954479694366455]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 6, 9, 10, 1, 9, 10, 1, 6, 8, 4, 5, 8]"
Another Love,[122.2826087],"[0.4957831799983978, 0.4115813672542572, 0.4642987847328186, 0.4564676880836487, 0.530954122543335, 0.406099796295166, 0.48165035247802734, 0.5014493465423584, 0.3491957187652588, 0.33246007561683655, 0.3823089897632599, 0.5460840463638306]","[-204.7344207763672, 172.60409545898438, 3.6408097743988037, 30.839841842651367, -5.478387832641602, 11.556171417236328, -7.600736141204834, 3.5429203510284424, 2.910013437271118, -2.8045389652252197, -0.47801700234413147, -2.9503064155578613, 3.3963444232940674]","[9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11, 9, 10, 11]"
Anuv Jain - JO TUM MERE HO (Official Video),[126.04801829],"[0.5091513991355896, 0.469933420419693, 0.4492443799972534, 0.5409274101257324, 0.5381585955619812, 0.41719356179237366, 0.3967639207839966, 0.4159466028213501, 0.49051859974861145, 0.4787319004535675, 0.49160829186439514, 0.5516691207885742]","[-203.80679321289062, 146.00279235839844, -5.447643756866455, 44.351287841796875, 7.4748215675354, 28.776689529418945, -3.326317548751831, 9.395959854125977, 1.7319740056991577, 1.1530250310897827, -0.881616473197937, -1.1989171504974365, -4.666277885437012]","[1, 2, 3, 0, 1, 10, 1, 2, 3, 2, 8, 9, 7, 9, 10, 6, 7, 9, 7, 8, 9, 7, 9, 10, 8, 9, 10, 8, 9, 10]"
